Date,SENSEX.BO,TCS.BO,TATAMOTORS.BO,SUNPHARMA.BO,ITC.BO,INFOSYS.BO,ICICIBANK.BO,AXISBANK.BO,ASIANPAINTS.BO
7/8/2014,25582.10938,2449.699951,468.399994,724.799988,335.800507,3333.800049,1412.5,9441.5,590.5
7/9/2014,25444.81055,2397.300049,456.899994,721.5,341.400024,3304.300049,1403.200073,9372.25,592.150024
7/10/2014,25372.75,2347.899902,452.850006,724.950012,342.499481,3292.899902,1390.850098,9299.25,585.900024
7/11/2014,25024.34961,2398,445.5,741.450012,346.049988,3325.800049,1355.599976,9080.5,569
7/14/2014,25006.98047,2424.699951,456.25,737.650024,345.100494,3227,1344.299927,9233.5,589.450012
7/15/2014,25228.65039,2400.199951,463.049988,738.700012,342.400513,3225.447998,1393.549927,9487.5,582.950012
7/16/2014,25549.7207,2401.350098,470.350006,743.650024,343.799988,3229.399902,1459.050049,9826.25,579.799988
7/17/2014,25561.16016,2381.100098,474.899994,741.299988,344.2995,3243.300049,1448.699951,9774.75,579.950012
7/18/2014,25641.56055,2442.649902,475.200012,741.25,344.149506,3253.199951,1477.199951,9980.25,581.400024
7/21/2014,25715.16992,2464.300049,474.350006,743.900024,349.049988,3206.447998,1482.599976,10115.75,593.900024
7/22/2014,26025.80078,2531.050049,485.399994,749.549988,351.850494,3235.100098,1483.200073,10088,602.75
7/23/2014,26147.33008,2586.899902,478.678009,745.200012,352.399506,3347,1505.800049,2001.150024,601.549988
7/24/2014,26271.84961,2594.550049,485.600006,747.700012,356.25,3378.248047,1505.25,9983.25,618.400024
7/25/2014,26126.75,2604.949951,461.899994,779.299988,357.100494,3352.352051,1475.899902,9929.25,637
7/28/2014,25991.23047,2588.699951,453.149994,789.700012,356.700012,3366.399902,1451.5,0,634.5
7/30/2014,26087.41992,2593.449951,451.350006,790.450012,358.699493,3368.052002,1489.550049,0,642.25
7/31/2014,25894.9707,2577.300049,446.899994,790.700012,356.2005,3365.699951,1473,0,629.150024
8/1/2014,25480.83984,2516.449951,439.5,768.900024,349.750519,3340.352051,1476.400024,0,625.200012
8/4/2014,25723.16016,2526.949951,446.799988,761.349976,354.250519,3462.600098,1491.349976,0,629.950012
8/5/2014,25908.00977,2522.550049,456.649994,772.700012,355.750519,3504.248047,1485.5,0,633
8/6/2014,25665.26953,2509.399902,447.350006,761.150024,346.399506,3574.699951,1446.849976,0,639.900024
8/7/2014,25589.00977,2470.199951,442.149994,759.099976,345.949493,3514.552002,1445.200073,0,632.299988
8/8/2014,25329.14063,2476,433,759.299988,348.450012,3480.352051,1437.349976,0,618.5
8/11/2014,25519.24023,2468.75,447.399994,763.349976,347.500519,3573.248047,1440,0,613.950012
8/12/2014,25880.76953,2473.699951,473.899994,783.900024,346.999481,3576.399902,1463.800049,0,614.299988
8/13/2014,25918.94922,2494.899902,472.649994,800.25,356.449493,3599.100098,1452,0,615.349976
8/14/2014,26103.23047,2496.550049,484.600006,814.049988,356.749481,3603.751953,1477.599976,0,617.450012
8/18/2014,26390.96094,2486.449951,503.899994,814.799988,350.749481,3558.447998,1529.849976,0,620.299988
8/19/2014,26420.66992,2438.350098,518.75,809.5,348.900024,3551.100098,1543.049927,0,615.349976
8/20/2014,26314.28906,2436.449951,506.233002,847.099976,345,3552.5,1542.5,0,612.25
8/21/2014,26360.10938,2431.949951,512.599976,857.950012,345.75,3542.947998,1544.299927,0,613.25
8/22/2014,26419.55078,2461.649902,511.5,856.799988,343.699493,3601.248047,1537.700073,0,610.349976
8/25/2014,26437.01953,2521.149902,508.299988,853.349976,349.349976,3621.5,1514.349976,0,605.049988
8/26/2014,26442.81055,2533.449951,512.900024,864.849976,351.900024,3620.600098,1510.050049,0,608
8/27/2014,26560.15039,2545.350098,521.599976,861.799988,352.349976,3632.751953,1540.949951,0,616.950012
8/28/2014,26638.10938,2524.600098,524.400024,854.549988,355.150513,3594,1556.550049,0,624.150024
9/1/2014,26867.55078,2537.25,519.849976,842.099976,350.2995,3603.399902,1598.849976,0,629.599976
9/2/2014,27019.39063,2539.100098,516.400024,863.150024,354.7995,3611.552002,1590.899902,0,624.25
9/3/2014,27139.93945,2601.300049,522.650024,863.200012,348.949493,3734.600098,1579.25,0,626.049988
9/4/2014,27085.92969,2584.149902,512.849976,864.650024,350.549988,3708.052002,1571.25,0,631.349976
9/5/2014,27026.69922,2597,506.350006,857.799988,350.2995,3730.300049,1548.350098,0,646.950012
9/8/2014,27319.84961,2636.050049,510.5,866.049988,353.549988,3778.352051,1568.200073,0,674.299988
9/9/2014,27265.32031,2630.300049,517.25,860.150024,357.649506,3736.800049,1547.700073,0,665.049988
9/10/2014,27057.41016,2603.25,516.299988,859.650024,351.0495,3668.100098,1571.400024,0,653.799988
9/11/2014,26995.86914,2596.100098,514.099976,822.799988,350.9505,3683.647949,1565.899902,0,656.5
9/12/2014,27061.03906,2605.850098,516.5,805.900024,355.849487,3672.352051,1564.949951,0,670.549988
9/15/2014,26816.56055,2558.75,512.25,795.450012,351.649506,3642.947998,1551.900024,0,660.900024
9/16/2014,26492.50977,2554.899902,499.600006,797.900024,353.149506,3656.552002,1526.300049,0,648.349976
9/17/2014,26631.28906,2588.449951,506.850006,792.299988,354.75,3740.399902,1529.100098,0,645.900024
9/18/2014,27112.21094,2636.649902,525.599976,805.200012,358.600494,3699.899902,1565.350098,0,660.099976
9/19/2014,27090.41992,2708.050049,519,806.849976,359.449493,3701.447998,1570.449951,0,668.299988
9/22/2014,27206.74023,2720.600098,539.400024,797.349976,370.650024,3650.947998,1577.299927,0,652.799988
9/23/2014,26775.68945,2688.899902,517.799988,780.25,370.900513,3612.800049,1538.449951,0,635.299988
9/24/2014,26744.68945,2643.449951,512.950012,780.349976,376.750519,3649.399902,1516.600098,0,639.900024
9/25/2014,26468.35938,2707.649902,503.549988,773.799988,376.349976,3693.647949,1466.849976,0,620.950012
9/26/2014,26626.32031,2682.850098,511.450012,807.099976,371.749481,3681.199951,1478.049927,0,628.700012
9/29/2014,26597.10938,2768,510.75,834.200012,366.400513,3751.100098,1457.449951,0,626.150024
9/30/2014,26630.50977,2738.199951,502.75,857.299988,370.750519,3747.647949,1435.25,0,629.400024
10/1/2014,26567.99023,2775.699951,502.75,860.450012,364.049988,3847.199951,1428.449951,0,631.599976
10/7/2014,26271.9707,2733.199951,504.899994,836.849976,362.800507,3830.300049,1430.099976,0,629.299988
10/8/2014,26246.78906,2681.350098,504.601013,800.75,365.9505,3650.199951,1449.649902,0,635.900024
10/9/2014,26637.2793,2706.100098,519.950012,814.400024,365.25,3645.552002,1487.899902,0,655.099976
10/10/2014,26297.38086,2679.149902,492.350006,818.799988,353.149506,3888.947998,1460,0,663.450012
10/13/2014,26384.07031,2720.350098,496.350006,803.549988,350.599487,3943.447998,1476.550049,0,656.400024
10/14/2014,26349.33008,2699.699951,488.200012,804.299988,347.549988,3918.647949,1476.699951,0,646.450012
10/15/2014,0,2699.699951,488.200012,804.299988,347.549988,3918.647949,1476.699951,0,646.450012
10/16/2014,25999.33984,2678.850098,483.799988,796.849976,352.699493,3865.600098,1463.699951,0,627.099976
10/17/2014,26108.5293,2444.899902,475.75,797.849976,353.899506,3853.852051,1505.599976,0,639.200012
10/20/2014,26429.84961,2423.350098,494.5,802.599976,352.099487,3812,1537,0,647.25
10/21/2014,26575.65039,2433.449951,501.700012,796.950012,351.450012,3774.199951,1577.599976,0,644.799988
10/22/2014,26787.23047,2452.399902,519.450012,806.900024,349.150513,3794.699951,1570.850098,0,641.75
10/27/2014,26752.90039,2458.300049,503.649994,804.549988,349.200012,3803.052002,1572.400024,423.850006,650.400024
10/28/2014,26880.82031,2478.199951,508.600006,839.25,350.350494,3794.052002,1601.199951,0,646.25
10/29/2014,27098.16992,2502.649902,525.950012,829.950012,354.400513,3879.248047,1603.900024,0,646.099976
10/30/2014,27346.33008,2557.899902,526.400024,829.099976,354.850494,3946.147949,1611.5,0,644.349976
10/31/2014,27865.83008,2604.550049,535.650024,845.549988,355.249481,4051.439941,1625.449951,0,656.150024
11/3/2014,27860.38086,2589.300049,531.150024,851.75,354.949493,4084.47998,1642.050049,0,653.650024
11/5/2014,27915.88086,2600.850098,534.75,869.650024,358.349976,4126,1672.299927,0,656.799988
11/7/2014,27868.63086,2573.5,533.75,891.650024,355.650024,4168.720215,1685.599976,0,646.099976
11/10/2014,27874.73047,2567.5,521.700012,910.299988,370.849487,4170.200195,1667,0,647.700012
11/11/2014,27910.06055,2577.550049,521.700012,915.650024,363.75,4124.560059,1684.050049,0,649.5
11/12/2014,28008.90039,2591.75,530.599976,906.25,369.400513,4108.439941,1706.400024,0,644.299988
11/13/2014,27940.64063,2588.050049,526.25,908.599976,368.25,4181.120117,1692.299927,0,644.299988
11/14/2014,28046.66016,2606,523.799988,886.5,368.2005,4188.359863,1695.200073,0,671.75
11/17/2014,28177.88086,2618.5,545.099976,882.450012,369.550507,4208.799805,1673.650024,0,691.75
11/18/2014,28163.28906,2587.550049,541.299988,865.349976,369.199493,4176.879883,1681,0,700.75
11/19/2014,28032.84961,2577.649902,528.900024,850,367.750519,4179.759766,1682.149902,0,683.450012
11/20/2014,28067.56055,2605.449951,524.650024,851.099976,369.150024,4221.720215,1689.100098,0,689.5
11/21/2014,28334.63086,2616.300049,530.450012,842.349976,376.249481,4146.120117,1734,0,690.650024
11/24/2014,28499.53906,2652.199951,526.599976,837,374.400024,4273.879883,1772.949951,0,689.75
11/25/2014,28338.05078,2634.75,520.75,840.25,355.699493,4303.160156,1737.100098,0,691.849976
11/26/2014,28386.18945,2628.75,519.75,838.599976,363.299988,4297.640137,1711.950073,0,703.75
11/27/2014,28438.91016,2649.149902,518.549988,841.950012,360.75,4366.879883,1722.299927,0,706.400024
11/28/2014,28693.99023,2643.100098,532.950012,839.549988,363,4359.240234,1754.600098,0,743.700012
12/1/2014,28559.61914,2693.149902,536.150024,835.25,364.000519,4350.759766,1757.550049,0,796.75
12/2/2014,28444.00977,2656.050049,529,840.900024,365.2995,2127.939941,1770.549927,0,769.950012
12/3/2014,28442.71094,2635.050049,528.5,842.150024,363,2122.600098,1793.099976,0,789.099976
12/4/2014,28562.82031,2636.649902,527.900024,839.75,382.750519,2102.300049,361.850006,0,790.25
12/5/2014,28458.09961,2578.449951,524.799988,821.299988,391.4505,2069.699951,359.450012,0,785.299988
12/8/2014,28119.40039,2513.699951,515.799988,828.799988,397.849487,1968.599976,354.649994,0,793.75
12/9/2014,27797.00977,2517.449951,503.100006,840.900024,394.249512,1964.800049,350.399994,0,782.049988
12/10/2014,27831.09961,2510.399902,510.799988,833.200012,394.900513,1963.699951,352.5,0,775.900024
12/11/2014,27602.00977,2492.550049,504,835.450012,396.7005,1920.800049,347.899994,0,767.599976
12/12/2014,27350.67969,2455.699951,500,842,395.650513,1939.150024,346.600006,0,775.049988
12/15/2014,27319.56055,2362.800049,493.799988,844,392.849976,1924.300049,345.5,0,767.549988
12/16/2014,26781.43945,2443.149902,481.850006,829.900024,380.500519,1937.650024,330.649994,0,759.25
12/17/2014,26710.13086,2444.300049,475.799988,811.75,371.650513,1940.449951,332.5,0,731.349976
12/18/2014,27126.57031,2459.050049,485.049988,812.75,374.650513,1966.300049,345.200012,0,745.349976
12/19/2014,27371.83984,2508.949951,486,809.25,369.499481,2001.900024,355.399994,0,734.349976
12/22/2014,27701.78906,2513,494.299988,814.700012,374.500519,1997,358.850006,0,744.950012
12/23/2014,27506.46094,2517.050049,487.899994,813.049988,374.849976,1971.099976,353.049988,0,738.5
12/24/2014,27208.60938,2481.149902,485.450012,804.700012,371.9505,1934.050049,353.149994,0,729.700012
12/26/2014,0,2505.5,485.049988,811.200012,367.699493,1950.349976,351,0,726.75
12/29/2014,0,2524.699951,494.950012,820.25,369.900024,1959.800049,349.399994,0,757.299988
12/30/2014,27403.53906,2531.300049,493.899994,820.549988,368.700012,1966.400024,350.799988,0,750.049988
12/31/2014,27499.41992,2554.699951,496.100006,826.150024,368.400024,1971.199951,353,0,751.75
1/1/2015,0,2548.199951,498.25,824.400024,367.049988,1975.800049,352.700012,0,750.349976
1/2/2015,27887.90039,2570.850098,511.700012,825.900024,368.25,2013.439941,362.600006,0,775.25
1/5/2015,27842.32031,2537.899902,524.099976,827.150024,369.7995,1996.599976,363.100006,0,774.900024
1/6/2015,26987.46094,2446.550049,495.795013,807.799988,360.599976,1956.849976,347.850006,499.299988,757.25
1/7/2015,26908.82031,2416.800049,494,810,353.549988,1964.800049,338.700012,0,772.299988
1/8/2015,27274.71094,2443.850098,512.200012,817.400024,362.449493,1974.550049,347.25,0,819.5
1/9/2015,27458.38086,2512.199951,521.849976,829.599976,356.700012,2073.600098,342.100006,0,812.900024
1/12/2015,27585.26953,2512.050049,522.400024,836,357.949493,2114.76001,346.450012,0,807.349976
1/13/2015,27425.73047,2498.300049,519.549988,832.950012,360.250519,2087.23999,341,0,833.099976
1/14/2015,27346.82031,2518.149902,520.349976,820.75,348.400513,2128.800049,337.149994,0,842.650024
1/15/2015,28075.55078,2545,532.450012,826.950012,358.000519,2133.939941,352.649994,0,839.25
1/16/2015,28121.89063,2531.899902,525.599976,850.75,359.2995,2114.139893,353.899994,0,843.5
1/19/2015,28262.00977,2509.75,538.75,862.049988,358.399506,2102.399902,360.75,0,831.650024
1/20/2015,28784.66992,2499.550049,559.099976,870,371.2005,2122.360107,366.899994,0,837.950012
1/21/2015,28888.85938,2511.350098,551.400024,886.049988,352.600494,2165.100098,368.399994,0,851.450012
